CASE,GENDER,SHOOTINGTYPE,RACE,LOCATION,STATE,YEAR,FATALITIES,WOUNDED,TOTALVICTIMS,LOCATIONTYPE,PRIORSIGNSOFMENTALILLNESS,WEAPONSOBTAINEDLEGALLY,WHEREWEAPONOBTAINED,TYPEOFWEAPONS,NUMWEAPONS
Caltrans maintenance yard shooting,Male,Mass,Latino,"Orange, California",California,1997,5,2,7,Workplace,No,Yes,"B&B Gun Sales in Orange County, Calif.",One rifle (assault),1
R.E. Phelon Company shooting,Male,Mass,Black,"Aiken, South Carolina",South Carolina,1997,4,3,7,Workplace,No,No,Unknown,One semiautomatic handgun,1
Fort Lauderdale revenge shooting,Male,Mass,Black,"Fort Lauderdale, Florida",Florida,1996,6,1,7,Workplace,Yes,Yes,Unknown,"One semiautomatic handgun, one revolver",2
Walter Rossler Company massacre,Male,Mass,White,"Corpus Christi, Texas",Texas,1995,6,0,6,Workplace,No,Yes,Unknown,"One semiautomatic handgun, one revolver",2
Air Force base shooting,Male,Mass,White,"Fairchild Air Force Base, Washington",Washington,1994,5,23,28,Military,Yes,Yes,"Gun dealer in Spokane, Wash.",One rifle (assault),1
Chuck E. Cheese's killings,Male,Mass,Black,"Aurora, Colorado",Colorado,1993,4,1,5,Workplace,No,,Unknown,One semiautomatic handgun,1
Long Island Rail Road massacre,Male,Mass,Black,"Garden City, New York",New York,1993,6,19,25,Other,Yes,Yes,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,1
Luigi's shooting,Male,Mass,White,"Fayetteville, North Carolina",North Carolina,1993,4,8,12,Other,No,Yes,Unknown,"One rifle, two shotguns",3
101 California Street shootings,Male,Mass,White,"San Francisco, California",California,1993,9,6,15,Other,No,No,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev.",Three semiautomatic handguns (two assault),3
Watkins Glen killings,Male,Mass,White,"Watkins Glen, New York",New York,1992,5,0,5,Other,Yes,Yes,"Mumford Sports in Litchfield, Ohio",One semiautomatic handgun,1
Lindhurst High School shooting,Male,Mass,White,"Olivehurst, California",California,1992,4,10,14,School,No,Yes,Local gun retailer,"One rifle, one shotgun",2
Royal Oak postal shootings,Male,Mass,White,"Royal Oak, Michigan",Michigan,1991,5,5,10,Workplace,Yes,Yes,Local gun store,One rifle,1
University of Iowa shooting,Male,Mass,Asian,"Iowa City, Iowa",Iowa,1991,6,1,7,School,Yes,Yes,"Fin & Feather in Iowa City, Iowa",One revolver,1
Luby's massacre,Male,Mass,White,"Killeen, Texas",Texas,1991,24,20,44,Other,No,Yes,"Mike's Gun Shop in Henderson, Nev.",Two semiautomatic handguns,2
GMAC massacre,Male,Mass,Black,"Jacksonville, Florida",Florida,1990,10,4,14,Other,No,Yes,Unknown,"One rifle, one revolver",2
Standard Gravure shooting,Male,Mass,White,"Louisville, Kentucky",Kentucky,1989,9,12,21,Workplace,Yes,Yes,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver",5
Stockton schoolyard shooting,Male,Mass,White,"Stockton, California",California,1989,6,29,35,School,Yes,Yes,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",2
ESL shooting,Male,Mass,White,"Sunnyvale, California",California,1988,7,4,11,Workplace,Yes,Yes,Various sporting goods and gun stores in Northern California,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",7
Shopping centers spree killings,Male,Spree,White,"Palm Bay, Florida",Florida,1987,6,14,20,Other,Yes,Yes,"Gun store in Norwood, Ohio; The Oaks Trading Post in Melbourne, Fla.","One rifle, one revolver, one shotgun",3
United States Postal Service shooting,Male,Mass,White,"Edmond, Oklahoma",Oklahoma,1986,15,6,21,Workplace,Yes,Yes,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  ",Three semiautomatic handguns,3
San Ysidro McDonald's massacre,Male,Mass,White,"San Ysidro, California",California,1984,22,19,41,Other,Yes,Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",3
Dallas nightclub shooting,Male,Mass,White,"Dallas, Texas",Texas,1984,6,1,7,Other,Yes,No,"Hines Boulevard Pawn Shop in Dallas, Texas",One semiautomatic handgun,1
Welding shop shooting,Male,Mass,White,"Miami, Florida",Florida,1982,8,3,11,Other,Yes,Yes,"Garcia Gun Center in Hialeah, Fla.",One shotgun,1
